Milestone ID,IDExtension,Related Records,Milestone Name,Plan Fragment ID,Project Tag Name,Record Status,MODVERSION
Autenticacion End,,,END,Autenticacion,F2,,
Autenticacion Start,,,START,Autenticacion,F2,,
Base End,,,END,Base,F2,,
Base Start,,,START,Base,F2,,
Cambio Marca Jazztel End,,,END,Cambio Marca Jazztel,F2,,
Cambio Marca Jazztel Start,,,START,Cambio Marca Jazztel,F2,,
Comisiones Adicional End,,,END,Comisiones Adicional,F2,,
Comisiones Adicional Start,,,START,Comisiones Adicional,F2,,
Comisiones Cambio SIM End,,,END,Comisiones Cambio SIM,F2,,
Comisiones Cambio SIM Start,,,START,Comisiones Cambio SIM,F2,,
Comisiones Cambio Tarifa End,,,END,Comisiones Cambio Tarifa,F2,,
Comisiones Cambio Tarifa Start,,,START,Comisiones Cambio Tarifa,F2,,
Control Consumo End,,,END,Control Consumo,F2,,
Control Consumo Start,,,START,Control Consumo,F2,,
Destinos Especiales End,,,END,Destinos Especiales,F2,,
Destinos Especiales Start,,,START,Destinos Especiales,F2,,
Dummy 2 End,,,END,Dummy 2,F2,,
Dummy 2 Intermediate,,,Intermediate,Dummy 2,F2,,
Dummy 2 Start,,,START,Dummy 2,F2,,
Dummy Comp End,,,END,Dummy Comp,F2,,
Dummy Comp Start,,,START,Dummy Comp,F2,,
Dummy End,,,END,Dummy,F2,,
Dummy Intermediate,,,Intermediate,Dummy,F2,,
Dummy Start,,,START,Dummy,F2,,
